python : import time: self [us] | cumulative | imported package
import time:       494 |        494 |           anyio._core._signals
import time:      6976 |       6976 |               _ssl
import time:      3282 |      10258 |             ssl
import time:      1036 |       1036 |               anyio.streams
import time:      2506 |       3541 |             anyio.streams.stapled
import time:      1803 |       1803 |             anyio.streams.tls
import time:      1463 |      17064 |           anyio._core._sockets
import time:      5220 |       5220 |             anyio.streams.memory
import time:      1830 |       7050 |           anyio._core._streams
import time:       413 |        413 |               fcntl
import time:        91 |         91 |               msvcrt
import time:      1628 |       2132 |             subprocess
import time:      1211 |       3342 |           anyio._core._subprocesses
import time:       158 |        158 |                 zlib
import time:       800 |        800 |                   _compression
import time:       890 |        890 |                   _bz2
import time:       839 |       2528 |                 bz2
import time:      1113 |       1113 |                   _lzma
import time:      1065 |       2178 |                 lzma
import time:      1536 |       6399 |               shutil
import time:      1283 |       7681 |             tempfile
import time:      1103 |       8784 |           anyio._core._tempfile
import time:      1002 |      73967 |         anyio
import time:      1450 |       1450 |                       pydantic_core._pydantic_core
import time:      1353 |       1353 |                             numbers
import time:      1577 |       2930 |                           _decimal
import time:       923 |       3853 |                         decimal
import time:     80996 |      84848 |                       pydantic_core.core_schema
import time:      1510 |      87808 |                     pydantic_core
import time:      1170 |      88977 |                   pydantic.version
import time:      1496 |      90472 |                 pydantic.warnings
import time:      1116 |      91588 |               pydantic._migration
import time:      1555 |       1555 |                   typing_inspection
import time:      3156 |       3156 |                   typing_inspection.typing_objects
import time:      2440 |       7150 |                 typing_inspection.introspection
import time:      1070 |       1070 |                 pydantic._internal
import time:       972 |        972 |                     pydantic._internal._namespace_utils
import time:      1271 |       2242 |                   pydantic._internal._typing_extra
import time:      1275 |       3517 |                 pydantic._internal._repr
import time:      2035 |      13770 |               pydantic.errors
import time:      1091 |     106448 |             pydantic
import time:       684 |        684 |                 pydantic._internal._internal_dataclass
import time:      2969 |       3653 |               pydantic.aliases
import time:      1616 |       1616 |               pydantic.config
import time:      1058 |       6326 |             pydantic._internal._config
import time:       940 |        940 |               pydantic._internal._core_utils
import time:       684 |        684 |                 pydantic._internal._import_utils
import time:      2386 |       3069 |               pydantic._internal._utils
import time:      6275 |      10283 |             pydantic._internal._decorators
import time:      2084 |       2084 |                 pydantic._internal._forward_ref
import time:      1912 |       3995 |               pydantic._internal._generics
import time:      1268 |       1268 |               pydantic._internal._docs_extraction
import time:      2654 |       7916 |             pydantic._internal._fields
import time:       996 |        996 |                 pydantic.plugin
import time:       825 |       1821 |               pydantic.plugin._schema_validator
import time:       934 |       2754 |             pydantic._internal._mock_val_ser
import time:      1821 |       1821 |                 fractions
import time:       781 |        781 |                   _uuid
import time:       999 |       1780 |                 uuid
import time:      1729 |       1729 |                     sysconfig
import time:      1353 |       3081 |                   zoneinfo._tzpath
import time:       749 |        749 |                   zoneinfo._common
import time:       772 |        772 |                   _zoneinfo
import time:       848 |       5450 |                 zoneinfo
import time:       750 |        750 |                 pydantic.annotated_handlers
import time:      3910 |       3910 |                 pydantic.functional_validators
import time:       789 |        789 |                   pydantic._internal._core_metadata
import time:       948 |        948 |                   pydantic._internal._schema_generation_shared
import time:      2938 |       4673 |                 pydantic.json_schema
import time:      1099 |       1099 |                 pydantic._internal._discriminated_union
import time:       891 |        891 |                 pydantic._internal._known_annotated_metadata
import time:      1339 |       1339 |                 pydantic._internal._schema_gather
import time:      1955 |      23663 |               pydantic._internal._generate_schema
import time:       773 |        773 |               pydantic._internal._signature
import time:      1059 |      25494 |             pydantic._internal._model_construction
import time:      7620 |       7620 |               annotated_types
import time:      1232 |       1232 |               pydantic._internal._validators
import time:      7921 |       7921 |               pydantic.types
import time:      2465 |      19237 |             pydantic.fields
import time:       428 |        428 |                   _csv
import time:      1920 |       2348 |                 csv
import time:       715 |        715 |                     importlib._abc
import time:       206 |        921 |                   importlib.util
import time:       653 |        653 |                     zipfile._path.glob
import time:      1177 |       1830 |                   zipfile._path
import time:      2099 |       4849 |                 zipfile
import time:       537 |        537 |                     importlib.metadata._functools
import time:       554 |       1090 |                   importlib.metadata._text
import time:       904 |       1993 |                 importlib.metadata._adapters
import time:       747 |        747 |                 importlib.metadata._meta
import time:       605 |        605 |                 importlib.metadata._collections
import time:       448 |        448 |                 importlib.metadata._itertools
import time:      1042 |       1042 |                       importlib.resources.abc
import time:       794 |        794 |                       importlib.resources._adapters
import time:      1040 |       2875 |                     importlib.resources._common
import time:       607 |        607 |                     importlib.resources._legacy
import time:       542 |       4024 |                   importlib.resources
import time:       762 |       4786 |                 importlib.abc
